Code,Score,Challenge,Description,Completed
A263,150,GUIDED: OOP RPG CHARACTERS,"This simple guide introduces you to the Object Oriented Code you need for CAIE A-levels. It includes Attributes, Methods, Instances Inheritance, Polymorphism, Containment, Getter, Setter and private attributes.",Flase
A264,100,ROCKET LAUNCH,"Create an instance of a planet class, and if I enter a planet's mass and radius, the program should output the escape velocity required for the rocket",Flase
A265,150,TOWER OF HAFalseI,Use recursion to move all the disks to aFalsether tower (3 towers):,Flase
A266,75,BIG O DISPLAY,Create a chart system to show common Big O algorithm growth types.,True
A267,100,BULLET PROOF BINARY SEARCH,"Write a program that performs a binary search, but in the event it can't find an item it sorts the list and performs the search again. Only then does it report back that it can't find the item.",Flase
A269,100,FILE HANDLER,Isn't it anFalseying when you get told that the file doesn't exist? You will create error handling to let the user kFalsew which directory they are in and what files are there.,Flase
A270,100,GREATEST COMMON DIVISOR,"In mathematics, the greatest common divisor (GCD) of two or more integers, which are Falset all zero, is the largest positive integer that divides each of the integers. Create a recursive program to find the greatest common divisor.",Flase
A271,125,GRAY CODE,Create a recursive Gray code.,Flase
A272,100,RECURSIVE SUM DIGITS,Write a recursive program to get the sum of each digit in an integer. e.g. sumDigits(345) -> 12 or sumDigits(45) -> 9,Flase
OB01,100,DAD JOKES,Create Dad Joke Objects in this hilarious challenge! (See Extra Info for full details),True
OB02,110,PATTERNS,Patterns are everywhere and in this you see how Turtle can be used with Objects (See Extra Info for full details),True
OB03,125,WREXHAM AFC,Wrexham need you to help organise their players! (See Extra Info for full details),True
OB04,125,CUTEST CATS,The Top 5 cutest cat breeds. (See Extra Info for full details),True
OB05,125,EMPLOYEES,A simple employee database for email creation. (See Extra Info for full details),True
EX01,100,2 LAYER NEURAL NETWORK,Make a neural network with 2 layers using the numpy library in python.,Flase
EX02,450,GRAVITY SIMULATION,"Using particle objects and pygame, make a simulation of particles that attract each other and collide.",Flase
EX03,50,GUI CALCULATOR,Make your own GUI calculator in this cute tutorial!,Flase
EX04,150,MORSE CODE CONVERTER ,"Can you create a text to morse code converter with a menu, and also convert morse code to text",True
